"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]","Size [B]","Used [B]","Total loaded","Shared loaded","Live","Daemon"
"16:24:48.277, 19 de jun. de 2023","0,2","0,0","760.741.888","396.697.912","22.151.168","21.585.984","4.449","0","721","718"
"16:24:49.278, 19 de jun. de 2023","0,3","0,0","760.741.888","398.101.696","22.151.168","21.585.984","4.449","0","721","718"
"16:24:50.278, 19 de jun. de 2023","0,6","0,0","760.741.888","400.909.272","22.151.168","21.588.960","4.449","0","721","718"
"16:24:51.278, 19 de jun. de 2023","0,2","0,0","760.741.888","403.716.872","22.151.168","21.590.280","4.449","0","721","718"
"16:24:52.278, 19 de jun. de 2023","1,1","0,0","760.741.888","405.120.656","22.151.168","21.594.664","4.449","0","721","718"
"16:24:53.279, 19 de jun. de 2023","0,6","0,0","760.741.888","407.973.280","22.151.168","21.596.952","4.449","0","721","718"
"16:24:54.279, 19 de jun. de 2023","0,2","0,0","760.741.888","409.377.072","22.151.168","21.596.952","4.449","0","721","718"
"16:24:55.279, 19 de jun. de 2023","0,3","0,0","760.741.888","412.207.136","22.151.168","21.596.952","4.449","0","721","718"
"16:24:56.279, 19 de jun. de 2023","0,3","0,0","760.741.888","413.610.912","22.151.168","21.596.952","4.449","0","721","718"
"16:24:57.280, 19 de jun. de 2023","0,2","0,0","760.741.888","416.418.544","22.151.168","21.596.952","4.449","0","721","718"
"16:24:58.280, 19 de jun. de 2023","0,7","0,0","760.741.888","419.226.600","22.151.168","21.596.952","4.449","0","721","718"
"16:24:59.280, 19 de jun. de 2023","0,2","0,0","760.741.888","420.630.368","22.151.168","21.596.952","4.449","0","721","718"
"16:25:00.281, 19 de jun. de 2023","0,3","0,0","760.741.888","423.482.992","22.151.168","21.596.952","4.449","0","721","718"
"16:25:01.281, 19 de jun. de 2023","0,2","0,0","760.741.888","425.352.880","22.151.168","21.596.952","4.449","0","721","718"
"16:25:02.281, 19 de jun. de 2023","0,3","0,0","760.741.888","428.160.424","22.151.168","21.596.952","4.449","0","721","718"
"16:25:03.281, 19 de jun. de 2023","0,7","0,0","760.741.888","429.564.208","22.151.168","21.596.952","4.449","0","721","718"
"16:25:04.282, 19 de jun. de 2023","0,5","0,0","760.741.888","432.371.840","22.151.168","21.596.952","4.449","0","721","718"
"16:25:05.282, 19 de jun. de 2023","0,2","0,0","760.741.888","435.472.240","22.151.168","21.597.360","4.449","0","720","717"
"16:25:06.282, 19 de jun. de 2023","0,3","0,0","760.741.888","436.876.024","22.151.168","21.597.360","4.449","0","720","717"
"16:25:07.282, 19 de jun. de 2023","0,3","0,0","760.741.888","439.728.608","22.151.168","21.597.360","4.449","0","720","717"
"16:25:08.283, 19 de jun. de 2023","0,8","0,0","760.741.888","441.132.392","22.151.168","21.597.360","4.449","0","720","717"
"16:25:09.283, 19 de jun. de 2023","1,2","0,0","760.741.888","443.939.944","22.151.168","21.597.360","4.449","0","720","717"
"16:25:10.283, 19 de jun. de 2023","0,2","0,0","760.741.888","445.343.728","22.151.168","21.597.360","4.449","0","720","717"
"16:25:11.283, 19 de jun. de 2023","0,3","0,0","760.741.888","448.151.336","22.151.168","21.597.360","4.449","0","720","717"
"16:25:12.283, 19 de jun. de 2023","0,3","0,0","760.741.888","450.959.392","22.151.168","21.597.976","4.449","0","720","717"
"16:25:13.284, 19 de jun. de 2023","2,0","0,0","760.741.888","452.363.168","22.151.168","21.597.976","4.449","0","720","717"
"16:25:14.284, 19 de jun. de 2023","1,7","0,0","760.741.888","455.260.864","22.151.168","21.597.976","4.449","0","720","717"
"16:25:15.284, 19 de jun. de 2023","1,1","0,0","760.741.888","456.664.696","22.151.168","21.597.976","4.449","0","720","717"
"16:25:16.285, 19 de jun. de 2023","0,8","0,0","760.741.888","459.494.744","22.151.168","21.597.976","4.449","0","720","717"
"16:25:17.285, 19 de jun. de 2023","0,3","0,0","760.741.888","460.898.528","22.151.168","21.597.976","4.449","0","720","717"
"16:25:18.285, 19 de jun. de 2023","1,1","0,0","760.741.888","463.706.080","22.151.168","21.597.976","4.449","0","720","717"
"16:25:19.285, 19 de jun. de 2023","0,6","0,0","760.741.888","465.453.584","22.151.168","21.598.312","4.449","0","640","637"
"16:25:20.286, 19 de jun. de 2023","0,2","0,0","760.741.888","468.261.168","22.151.168","21.598.312","4.449","0","640","637"
"16:25:21.286, 19 de jun. de 2023","5,0","0,0","760.741.888","469.664.960","22.151.168","21.598.312","4.449","0","640","637"
"16:25:22.286, 19 de jun. de 2023","0,8","0,0","760.741.888","472.472.576","22.151.168","21.598.312","4.449","0","640","637"
"16:25:23.287, 19 de jun. de 2023","0,2","0,0","760.741.888","473.876.352","22.151.168","21.598.312","4.449","0","640","637"
"16:25:24.287, 19 de jun. de 2023","0,5","0,0","760.741.888","476.728.952","22.151.168","21.598.312","4.449","0","565","562"
"16:25:25.287, 19 de jun. de 2023","0,2","0,0","760.741.888","478.132.736","22.151.168","21.598.312","4.449","0","565","562"
