Type;Time [ms];CPU usage [%];GC activity [%];Size [B];Used [B];Total loaded;Shared loaded;Live;Daemon
Cached Threads;21:24:08.305, 30 de jun. de 2023;1,2;0,1;951.582.720;254.066.800;4.207;0;736;733
Cached Threads;21:24:09.305, 30 de jun. de 2023;0,6;0,0;951.582.720;256.644.872;4.207;0;562;559
Cached Threads;21:24:10.305, 30 de jun. de 2023;0,2;0,0;951.582.720;259.269.224;4.207;0;562;559
Cached Threads;21:24:11.306, 30 de jun. de 2023;0,2;0,0;951.582.720;261.518.208;4.207;0;562;559
Cached Threads;21:24:12.306, 30 de jun. de 2023;0,2;0,0;951.582.720;263.210.328;4.207;0;558;555
Cached Threads;21:24:13.306, 30 de jun. de 2023;0,2;0,0;951.582.720;264.846.720;4.207;0;558;555
Cached Threads;21:24:14.306, 30 de jun. de 2023;0,3;0,0;951.582.720;266.858.088;4.207;0;558;555
Cached Threads;21:24:15.306, 30 de jun. de 2023;0,1;0,0;951.582.720;268.494.480;4.207;0;558;555
Cached Threads;21:24:16.306, 30 de jun. de 2023;0,3;0,0;951.582.720;270.180.736;4.207;0;553;550
Cached Threads;21:24:17.306, 30 de jun. de 2023;0,1;0,0;951.582.720;271.817.128;4.207;0;553;550
Cached Threads;21:24:18.307, 30 de jun. de 2023;0,9;0,0;951.582.720;276.822.416;4.207;0;62;59
Cached Threads;21:24:19.307, 30 de jun. de 2023;0,1;0,0;951.582.720;278.906.912;4.207;0;19;16
Cached Threads;21:24:20.307, 30 de jun. de 2023;0,1;0,0;951.582.720;278.906.912;4.207;0;19;16
Cached Threads;21:24:21.307, 30 de jun. de 2023;0,0;0,0;951.582.720;278.906.912;4.207;0;19;16
Cached Threads;21:24:22.308, 30 de jun. de 2023;0,1;0,0;951.582.720;278.906.912;4.207;0;19;16
Cached Threads;21:24:23.308, 30 de jun. de 2023;0,1;0,0;951.582.720;278.906.912;4.207;0;19;16
Cached Threads;21:24:24.308, 30 de jun. de 2023;0,0;0,0;951.582.720;278.906.912;4.207;0;19;16
Cached Threads;21:24:25.308, 30 de jun. de 2023;0,1;0,0;951.582.720;280.543.304;4.207;0;19;16
