"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]","Size [B]","Used [B]","Live","Daemon","Total loaded","Shared loaded"
"16:18:48.655, 19 de jun. de 2023","0,2","0,0","2.441.609.216","1.554.909.536","22.347.776","21.704.024","29","26","4.471","0"
"16:18:49.655, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.555.444.720","22.347.776","21.704.888","29","26","4.471","0"
"16:18:50.656, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.555.713.312","22.347.776","21.704.888","29","26","4.471","0"
"16:18:51.656, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.555.980.920","22.347.776","21.704.888","29","26","4.471","0"
"16:18:52.656, 19 de jun. de 2023","0,0","0,0","2.441.609.216","1.556.248.496","22.347.776","21.704.888","29","26","4.471","0"
"16:18:53.657, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.556.516.088","22.347.776","21.704.888","29","26","4.471","0"
"16:18:54.657, 19 de jun. de 2023","0,2","0,0","2.441.609.216","1.556.783.688","22.347.776","21.704.888","29","26","4.471","0"
"16:18:55.657, 19 de jun. de 2023","0,0","0,0","2.441.609.216","1.557.051.280","22.347.776","21.704.888","29","26","4.471","0"
"16:18:56.657, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.557.587.464","22.347.776","21.711.296","29","26","4.474","0"
"16:18:57.658, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.557.855.048","22.347.776","21.712.696","29","26","4.474","0"
"16:18:58.658, 19 de jun. de 2023","0,2","0,0","2.441.609.216","1.558.122.656","22.347.776","21.714.968","29","26","4.475","0"
"16:18:59.658, 19 de jun. de 2023","1,3","0,0","2.441.609.216","1.558.390.400","22.347.776","21.717.640","29","26","4.475","0"
"16:19:00.659, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.558.657.976","22.347.776","21.723.808","29","26","4.475","0"
"16:19:01.659, 19 de jun. de 2023","0,2","0,0","2.441.609.216","1.558.925.584","22.347.776","21.724.240","29","26","4.475","0"
"16:19:02.659, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.559.193.192","22.347.776","21.725.664","29","26","4.475","0"
"16:19:03.659, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.559.729.360","22.347.776","21.725.664","29","26","4.475","0"
"16:19:04.660, 19 de jun. de 2023","0,0","0,0","2.441.609.216","1.559.996.936","22.347.776","21.725.664","29","26","4.475","0"
"16:19:05.660, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.560.264.520","22.347.776","21.725.664","29","26","4.475","0"
"16:19:06.660, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.561.384.816","22.347.776","21.726.112","28","25","4.475","0"
"16:19:07.660, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.561.652.896","22.347.776","21.726.112","28","25","4.475","0"
"16:19:08.660, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.561.920.488","22.347.776","21.726.112","28","25","4.475","0"
"16:19:09.661, 19 de jun. de 2023","0,0","0,0","2.441.609.216","1.562.188.072","22.347.776","21.726.112","28","25","4.475","0"
"16:19:10.661, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.562.456.152","22.347.776","21.726.112","28","25","4.475","0"
"16:19:11.661, 19 de jun. de 2023","0,2","0,0","2.441.609.216","1.562.991.824","22.347.776","21.726.112","28","25","4.475","0"
"16:19:12.662, 19 de jun. de 2023","0,3","0,0","2.441.609.216","1.563.259.904","22.347.776","21.726.112","28","25","4.475","0"
"16:19:13.662, 19 de jun. de 2023","0,0","0,0","2.441.609.216","1.563.527.528","22.347.776","21.726.112","28","25","4.475","0"
"16:19:14.662, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.563.795.608","22.347.776","21.726.112","28","25","4.475","0"
"16:19:15.662, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.564.063.208","22.347.776","21.726.112","28","25","4.475","0"
"16:19:16.663, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.564.330.848","22.347.776","21.726.112","28","25","4.475","0"
"16:19:17.663, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.564.598.488","22.347.776","21.726.520","28","25","4.475","0"
"16:19:18.663, 19 de jun. de 2023","0,3","0,0","2.441.609.216","1.564.867.080","22.347.776","21.726.520","28","25","4.475","0"
"16:19:19.664, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.565.135.672","22.347.776","21.726.520","28","25","4.475","0"
"16:19:20.664, 19 de jun. de 2023","0,0","0,0","2.441.609.216","1.565.403.240","22.347.776","21.726.520","28","25","4.475","0"
"16:19:21.664, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.565.939.408","22.347.776","21.726.520","28","25","4.475","0"
"16:19:22.665, 19 de jun. de 2023","1,1","0,0","2.441.609.216","1.566.207.016","22.347.776","21.726.520","28","25","4.475","0"
"16:19:23.665, 19 de jun. de 2023","1,7","0,0","2.441.609.216","1.566.475.096","22.347.776","21.726.520","28","25","4.475","0"
"16:19:24.665, 19 de jun. de 2023","0,0","0,0","2.441.609.216","1.566.743.688","22.347.776","21.726.520","28","25","4.475","0"
"16:19:25.666, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.567.011.280","22.347.776","21.726.520","28","25","4.475","0"
"16:19:26.666, 19 de jun. de 2023","1,1","0,0","2.441.609.216","1.567.278.872","22.347.776","21.726.520","28","25","4.475","0"
"16:19:27.666, 19 de jun. de 2023","4,7","0,0","2.441.609.216","1.567.546.952","22.347.776","21.726.520","28","25","4.475","0"
"16:19:28.667, 19 de jun. de 2023","1,6","0,0","2.441.609.216","1.567.815.544","22.347.776","21.726.520","28","25","4.475","0"
"16:19:29.667, 19 de jun. de 2023","0,0","0,0","2.441.609.216","1.568.083.128","22.347.776","21.726.520","28","25","4.475","0"
"16:19:30.667, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.568.619.800","22.347.776","21.726.856","28","25","4.475","0"
"16:19:31.667, 19 de jun. de 2023","0,2","0,0","2.441.609.216","1.568.888.392","22.347.776","21.726.856","28","25","4.475","0"
"16:19:32.668, 19 de jun. de 2023","0,0","0,0","2.441.609.216","1.569.155.960","22.347.776","21.726.856","28","25","4.475","0"
"16:19:33.668, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.569.423.544","22.347.776","21.726.856","28","25","4.475","0"
"16:19:34.668, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.569.692.136","22.347.776","21.726.856","28","25","4.475","0"
"16:19:35.669, 19 de jun. de 2023","0,0","0,0","2.441.609.216","1.569.959.728","22.347.776","21.726.856","28","25","4.475","0"
"16:19:36.669, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.570.227.320","22.347.776","21.726.856","27","24","4.475","0"
"16:19:37.669, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.570.494.896","22.347.776","21.726.856","27","24","4.475","0"
"16:19:38.669, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.570.762.472","22.347.776","21.726.856","27","24","4.475","0"
"16:19:39.670, 19 de jun. de 2023","0,0","0,0","2.441.609.216","1.571.030.048","22.347.776","21.726.856","27","24","4.475","0"
"16:19:40.670, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.571.297.664","22.347.776","21.726.856","27","24","4.475","0"
"16:19:41.670, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.571.833.856","22.347.776","21.726.856","27","24","4.475","0"
"16:19:42.671, 19 de jun. de 2023","0,3","0,0","2.441.609.216","1.572.101.936","22.347.776","21.726.856","27","24","4.475","0"
"16:19:43.671, 19 de jun. de 2023","0,0","0,0","2.441.609.216","1.572.370.528","22.347.776","21.727.664","27","24","4.475","0"
