"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]","Total loaded","Shared loaded","Live","Daemon"
"21:10:11.070, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.408.085.448","4.167","0","26","23"
"21:10:12.070, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.408.466.072","4.167","0","26","23"
"21:10:13.070, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.408.845.680","4.167","0","26","23"
"21:10:14.071, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.409.226.304","4.167","0","26","23"
"21:10:15.071, 30 de jun. de 2023","0,5","0,0","2.452.619.264","1.409.226.304","4.167","0","26","23"
"21:10:16.071, 30 de jun. de 2023","2,1","0,0","2.452.619.264","1.409.605.904","4.167","0","26","23"
"21:10:17.071, 30 de jun. de 2023","1,7","0,0","2.452.619.264","1.409.985.528","4.167","0","26","23"
"21:10:18.071, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.410.365.640","4.167","0","26","23"
"21:10:19.071, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.410.365.640","4.167","0","26","23"
"21:10:20.072, 30 de jun. de 2023","0,0","0,0","2.452.619.264","1.410.745.752","4.167","0","26","23"
"21:10:21.072, 30 de jun. de 2023","2,0","0,0","2.452.619.264","1.411.125.376","4.167","0","26","23"
"21:10:22.072, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.411.505.488","4.167","0","26","23"
"21:10:23.072, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.411.505.488","4.167","0","26","23"
"21:10:24.072, 30 de jun. de 2023","4,3","0,0","2.452.619.264","1.411.886.112","4.167","0","26","23"
"21:10:25.073, 30 de jun. de 2023","0,0","0,0","2.452.619.264","1.412.265.712","4.167","0","26","23"
"21:10:26.073, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.412.646.336","4.167","0","26","23"
"21:10:27.073, 30 de jun. de 2023","0,2","0,0","2.452.619.264","1.412.646.336","4.167","0","26","23"
"21:10:28.073, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.413.026.040","4.167","0","26","23"
"21:10:29.073, 30 de jun. de 2023","0,0","0,0","2.452.619.264","1.413.405.664","4.167","0","26","23"
"21:10:30.073, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.413.786.288","4.167","0","26","23"
"21:10:31.074, 30 de jun. de 2023","0,0","0,0","2.452.619.264","1.413.786.288","4.167","0","26","23"
"21:10:32.074, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.414.165.992","4.167","0","26","23"
"21:10:33.074, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.414.546.616","4.167","0","26","23"
"21:10:34.074, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.414.927.240","4.167","0","26","23"
"21:10:35.075, 30 de jun. de 2023","0,0","0,0","2.452.619.264","1.414.927.240","4.167","0","26","23"
"21:10:36.075, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.415.306.864","4.167","0","26","23"
"21:10:37.075, 30 de jun. de 2023","0,0","0,0","2.452.619.264","1.415.686.488","4.167","0","26","23"
"21:10:38.075, 30 de jun. de 2023","0,2","0,0","2.452.619.264","1.416.067.112","4.167","0","26","23"
"21:10:39.076, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.416.067.112","4.167","0","26","23"
"21:10:40.076, 30 de jun. de 2023","0,0","0,0","2.452.619.264","1.416.446.816","4.167","0","25","22"
"21:10:41.076, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.416.827.120","4.167","0","25","22"
"21:10:42.076, 30 de jun. de 2023","0,0","0,0","2.452.619.264","1.417.206.744","4.167","0","25","22"
"21:10:43.076, 30 de jun. de 2023","0,8","0,0","2.452.619.264","1.417.206.744","4.167","0","25","22"
"21:10:44.076, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.417.586.392","4.167","0","25","22"
"21:10:45.077, 30 de jun. de 2023","0,0","0,0","2.452.619.264","1.417.967.016","4.167","0","25","22"
"21:10:46.077, 30 de jun. de 2023","0,2","0,0","2.452.619.264","1.418.346.656","4.167","0","25","22"
"21:10:47.077, 30 de jun. de 2023","0,2","0,0","2.452.619.264","1.418.346.656","4.167","0","25","22"
"21:10:48.077, 30 de jun. de 2023","0,0","0,0","2.452.619.264","1.418.727.280","4.167","0","25","22"
"21:10:49.078, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.419.106.912","4.167","0","25","22"
"21:10:50.078, 30 de jun. de 2023","35,7","0,0","2.452.619.264","1.504.226.592","4.167","0","27","24"
"21:10:51.078, 30 de jun. de 2023","50,3","0,0","2.452.619.264","1.544.985.056","4.167","0","27","24"
