tipo;qual execução;hora;cpu;dado1;reservada;utilizada;total loaded;Shared loaded;threads;daemon
Virtual Threads;VT5;21:13:36.109, 30 de jun. de 2023;50,7;0;2452619264;1280842704;4167;0;27;24
Virtual Threads;VT5;21:13:37.110, 30 de jun. de 2023;49;0;2452619264;1321560232;4167;0;27;24
Virtual Threads;VT5;21:13:38.110, 30 de jun. de 2023;50,7;0;2452619264;1361632304;4167;0;27;24
Virtual Threads;VT5;21:13:39.110, 30 de jun. de 2023;49,4;0;2452619264;1404297168;4167;0;27;24
Virtual Threads;VT5;21:13:40.110, 30 de jun. de 2023;32,1;0;2452619264;1431266304;4167;0;27;24
Virtual Threads;VT5;21:13:41.110, 30 de jun. de 2023;0,1;0;2452619264;1431266304;4167;0;27;24
Virtual Threads;VT5;21:13:42.111, 30 de jun. de 2023;0;0;2452619264;1431691968;4167;0;27;24
Virtual Threads;VT5;21:13:43.111, 30 de jun. de 2023;0,2;0;2452619264;1432351720;4167;0;27;24
Virtual Threads;VT5;21:13:44.111, 30 de jun. de 2023;0,1;0;2452619264;1432351720;4167;0;27;24
Virtual Threads;VT5;21:13:45.111, 30 de jun. de 2023;0;0;2452619264;1432777376;4167;0;27;24
Virtual Threads;VT5;21:13:46.112, 30 de jun. de 2023;0,1;0;2452619264;1433203024;4167;0;27;24
Virtual Threads;VT5;21:13:47.112, 30 de jun. de 2023;0;0;2452619264;1433203024;4167;0;27;24
Virtual Threads;VT5;21:13:48.112, 30 de jun. de 2023;0,1;0;2452619264;1433628688;4167;0;27;24
Virtual Threads;VT5;21:13:49.112, 30 de jun. de 2023;0;0;2452619264;1434055344;4167;0;27;24
Virtual Threads;VT5;21:13:50.112, 30 de jun. de 2023;0,1;0;2452619264;1434055344;4167;0;27;24
Virtual Threads;VT5;21:13:51.113, 30 de jun. de 2023;0,1;0;2452619264;1434481000;4167;0;27;24
Virtual Threads;VT5;21:13:52.113, 30 de jun. de 2023;0;0;2452619264;1434907656;4167;0;27;24
Virtual Threads;VT5;21:13:53.113, 30 de jun. de 2023;0,1;0;2452619264;1434907656;4167;0;27;24
Virtual Threads;VT5;21:13:54.113, 30 de jun. de 2023;0,1;0;2452619264;1435333312;4167;0;27;24
Virtual Threads;VT5;21:13:55.114, 30 de jun. de 2023;0;0;2452619264;1435758944;4167;0;27;24
Virtual Threads;VT5;21:13:56.114, 30 de jun. de 2023;0,1;0;2452619264;1435758944;4167;0;27;24
Virtual Threads;VT5;21:13:57.114, 30 de jun. de 2023;0,1;0;2452619264;1436184656;4167;0;27;24
Virtual Threads;VT5;21:13:58.114, 30 de jun. de 2023;0;0;2452619264;1436611312;4167;0;27;24
Virtual Threads;VT5;21:13:59.115, 30 de jun. de 2023;0,1;0;2452619264;1436611312;4167;0;27;24
